,income_level,sex,age,town,occupation,height,1sibling,2home,3educ,4travel,5credit,6cr sum,7card,8pastime,9changes,10daily travel,11travel mode,12conscious,13accounts,14sum,15mobile,16mobtime,17car,18internet,19sport,20vegan,21civil,22polit,23ill,24medicine,25doctor,26covid,27advert,28culture,29food,30children,31rooms,32valuables,33cloths,34jewels,35smoke,36alcohol,37music,38face,39twitter,40online1,41online2,42TV,43refurb,44move,45travdest
10,0,male,37,Nagykanizsa,Lakatos ,146,3,0,3,0,1,2,1,1,3,0,1,0,0,2524031,1,0,0,0,1,0,0,1,1,0,5,1,0,1,3,0,0,806,2,1,1,3,1,1,0,1,0,0,1,0,2
11,1,male,27,Budakeszi,Lakatos ,173,0,0,3,0,1,1,1,4,2,0,0,0,1,1541641,1,0,1,0,1,0,0,1,0,1,0,1,0,4,0,0,4,0,3,1,1,2,2,0,0,1,0,0,1,1,3
12,1,male,39,Budakeszi,asztalos ,167,4,0,4,0,1,1,1,3,2,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,4,1,0,1,0,0,0,0,3,1,1,2,1,0,1,1,0,1,1,1,1
13,1,male,25,Budakeszi,Szakorvos ,171,4,1,3,1,1,1,1,2,0,4,1,0,1,0,1,0,0,0,1,0,1,0,0,1,2,1,0,4,2,1,3,0,2,0,1,1,2,1,0,1,0,0,1,1,4
14,0,male,47,Nagykanizsa,Szakorvos ,160,3,0,4,0,1,2,1,4,2,3,1,0,0,2441638,1,0,0,0,1,1,0,0,1,0,2,1,0,1,2,0,3,0,2,1,1,1,1,0,1,1,0,1,1,0,3
15,1,male,45,Nagykanizsa,Lakatos ,164,3,1,4,1,1,1,0,1,2,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,5,1,0,0,2,0,2,1759,1,1,1,3,2,1,1,2,0,1,1,1,1
16,1,male,41,Budakeszi,asztalos ,158,0,1,1,0,1,2,1,1,2,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,5,2,0,4,0,0,0,984,2,3,1,1,2,1,0,1,0,1,1,0,1
17,0,male,43,Budakeszi,asztalos ,171,4,0,2,1,1,2,1,1,2,3,0,0,0,0,1,0,1,0,1,0,1,1,1,1,5,3,0,1,0,0,3,1578,2,3,1,3,2,0,0,2,0,1,0,0,3
18,1,male,57,Nagykanizsa,Lakatos ,165,0,0,4,0,1,1,1,2,2,5,0,0,0,465974,1,1,0,1,1,1,0,1,1,0,3,0,0,3,2,4,0,0,2,3,1,3,2,1,0,1,2,1,1,0,4
19,1,female,63,Budakeszi,Lakatos ,167,4,0,3,1,1,2,1,1,2,2,1,0,0,0,1,0,1,1,1,1,0,1,1,0,2,1,0,0,2,0,4,1416,2,3,1,3,1,1,0,2,0,1,1,0,3
20,1,male,37,Nagykanizsa,asztalos ,151,1,0,3,1,1,1,1,2,3,2,1,0,1,475928,1,0,0,0,0,1,0,1,1,1,4,2,0,1,2,1,3,1558,2,0,1,3,2,0,0,1,2,1,0,1,2
21,1,male,53,Nagykanizsa,asztalos ,167,3,0,3,1,1,1,1,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,2,0,3,0,3,3,1,1,2,1,1,1,1,0,0,1,3
22,0,male,65,Nagybajcs,Szakorvos ,154,3,0,3,1,1,1,1,1,3,1,4,0,0,1557114,0,0,0,0,1,0,0,1,1,1,1,2,0,1,0,0,0,0,2,0,1,0,1,1,1,1,2,0,1,0,1
23,1,male,62,Budakeszi,asztalos ,163,0,2,3,0,1,1,1,1,2,3,4,0,0,2001060,0,0,0,1,1,0,1,1,1,1,5,1,0,3,0,0,0,0,3,1,1,3,0,1,0,2,0,1,1,0,3
24,1,male,33,Nagykanizsa,Lakatos ,190,4,0,3,0,1,2,1,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1,0,1,4,0,3,0,2,1,1,1,3,1,0,1,2,0,0,0,1
25,0,male,46,Nagykanizsa,Lakatos ,167,3,0,3,0,1,1,1,3,0,6,4,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,2,0,0,0,2,0,1,2,1,1,0,1,0,0,1,0,1
26,1,female,51,Nagybajcs,Szakorvos ,156,4,2,4,1,1,1,1,2,2,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,4,0,1,0,4,0,3,0,2,1,0,3,2,1,1,1,2,0,1,0,1
27,1,male,60,Nagybajcs,Lakatos ,164,3,0,4,1,1,1,1,1,2,6,1,0,0,2612911,1,0,0,1,1,1,1,1,0,1,3,1,0,3,2,1,3,0,2,0,1,1,2,1,1,1,2,1,1,0,1
28,1,male,25,Nagybajcs,Szakorvos ,181,4,0,1,0,1,2,1,3,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,4,2,0,1,3,0,0,1593,2,0,1,1,0,0,0,0,0,1,1,0,1
29,1,female,25,Nagykanizsa,Lakatos ,164,0,0,4,1,1,2,1,2,0,6,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,4,0,1,3,1,1,1,1,1,1,1,1,0,1,1
30,0,male,50,Nagykanizsa,Lakatos ,179,0,0,3,1,1,1,1,1,2,2,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,3,2,0,0,580,1,0,1,1,2,0,0,1,0,0,1,1,1
31,0,male,25,Budakeszi,Szakorvos ,169,4,2,2,1,1,1,1,1,2,1,1,0,0,2453976,0,0,1,0,1,0,0,1,1,1,1,1,0,1,4,3,4,0,1,0,1,1,0,0,1,1,2,0,0,0,1
32,1,female,62,Nagykanizsa,Szakorvos ,152,3,0,4,1,1,2,1,1,2,4,0,0,1,1464893,1,0,1,0,1,0,1,1,1,1,4,1,0,1,2,0,0,1740,2,1,1,1,1,0,1,1,0,1,1,0,4
33,1,female,52,Budakeszi,Szakorvos ,160,3,0,4,1,1,1,1,3,3,1,2,0,1,1710079,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,3,0,0,2,0,1,1,2,1,0,0,2,1,1,1,3
34,0,female,33,Nagykanizsa,Lakatos ,180,3,0,2,0,1,3,0,1,2,0,0,0,1,2529543,1,0,0,0,0,0,0,0,0,1,4,1,0,4,0,1,0,0,1,1,1,0,2,1,0,0,1,1,0,1,1
35,0,female,46,Budakeszi,Szakorvos ,169,4,0,3,1,1,1,1,2,3,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,4,1,0,1,2,0,0,615,2,0,1,2,2,0,0,1,0,1,0,0,3
36,1,male,35,Nagykanizsa,Szakorvos ,172,4,0,3,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,4,2,0,1,2,1,3,1753,2,3,1,2,2,0,1,1,2,1,1,1,2
37,0,male,43,Budakeszi,Szakorvos ,158,4,0,4,0,1,1,1,1,3,5,4,0,0,118037,0,1,0,0,0,1,1,0,1,1,3,1,0,1,2,0,0,43143,2,0,1,3,2,0,0,0,2,2,0,1,1
38,0,male,58,Nagykanizsa,asztalos ,178,4,0,1,0,1,1,1,0,0,3,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,2,0,4,2,0,0,0,2,0,1,1,1,0,0,2,0,1,1,0,1
39,0,male,42,Nagybajcs,asztalos ,171,0,0,3,1,1,1,1,2,3,7,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,2,0,1,2,1,0,244,2,2,1,1,0,0,0,2,2,0,0,1,3
40,1,male,58,Nagykanizsa,Szakorvos ,173,4,0,3,1,1,1,1,2,2,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1,5,2,0,1,0,1,0,0,3,1,1,1,2,0,0,1,0,0,1,0,1
41,1,female,44,Nagykanizsa,Szakorvos ,175,3,0,4,1,1,1,1,1,3,2,1,0,0,3032829,1,0,1,0,1,0,0,1,1,1,1,1,0,4,3,0,4,2908,2,3,1,2,0,1,1,1,0,0,0,1,1
42,1,female,29,Budakeszi,Szakorvos ,177,1,0,0,1,1,1,1,0,2,2,4,0,1,2206679,1,1,0,1,1,0,0,1,1,1,1,1,0,4,2,0,0,0,2,1,1,3,2,0,0,1,0,0,1,0,2
43,1,male,60,Nagykanizsa,Lakatos ,170,0,0,2,1,1,1,1,5,2,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,5,1,0,1,0,0,3,1046,2,1,1,2,2,1,0,1,0,0,1,0,2
44,1,male,54,Nagykanizsa,Lakatos ,175,4,2,3,0,1,1,1,1,2,0,0,0,0,532354,1,0,0,0,1,1,0,1,1,0,0,0,0,4,0,0,1,0,2,3,1,2,1,1,0,0,0,1,1,0,1
45,0,male,32,Nagybajcs,Szakorvos ,178,4,0,1,1,1,1,1,2,2,2,1,0,0,123522,0,0,0,0,1,0,1,1,1,1,3,1,0,1,0,0,0,0,2,3,0,2,2,1,0,2,2,1,0,0,0
46,1,male,59,Nagykanizsa,asztalos ,175,3,0,0,1,1,1,1,1,0,0,0,0,1,1313077,1,0,0,0,0,1,1,1,0,0,4,1,0,4,1,1,3,1206,2,3,1,3,2,0,1,0,2,1,1,0,1
47,0,male,29,Nagybajcs,asztalos ,180,4,1,4,1,1,1,1,1,0,4,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,2,0,1,2,0,3,704,3,0,1,1,0,0,0,1,2,0,0,0,0
48,1,female,62,Nagykanizsa,Szakorvos ,180,4,0,4,1,1,1,1,1,1,5,0,0,1,1451276,1,0,0,0,0,0,0,1,1,1,5,1,0,1,0,0,3,0,2,3,1,0,1,0,1,1,0,0,0,0,1
49,1,male,54,Budakeszi,Szakorvos ,176,3,0,3,0,1,1,1,1,2,3,0,0,1,643884,1,0,0,0,1,0,0,1,1,0,4,0,0,1,2,3,1,0,3,3,1,2,2,0,1,1,2,0,0,1,0
50,0,female,64,Nagykanizsa,Szakorvos ,156,3,1,2,1,1,1,1,1,2,3,0,0,1,0,1,0,0,0,0,1,0,1,1,1,5,1,0,1,0,0,0,2181,2,1,1,2,1,1,0,1,2,1,1,0,4
51,0,male,25,Nagykanizsa,asztalos ,156,1,0,3,0,1,1,1,1,3,1,4,1,0,0,0,0,0,0,1,0,0,1,1,0,5,3,0,0,0,0,3,226,3,1,1,1,1,1,0,1,2,0,1,0,2
52,0,male,42,Budakeszi,asztalos ,172,0,0,4,1,1,2,1,1,3,2,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,3,0,1,0,0,1,0,2,3,1,0,1,0,0,1,2,1,0,1,1
53,1,male,25,Nagybajcs,Szakorvos ,171,3,2,2,1,1,1,1,2,3,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,2,1,4,1225,2,2,1,1,2,1,0,1,2,0,1,0,1
54,0,female,62,Budakeszi,Szakorvos ,186,0,0,3,1,1,1,1,3,2,2,0,0,1,0,0,0,0,0,0,0,1,1,1,1,5,1,0,1,2,1,0,0,1,0,0,3,1,0,1,1,0,1,1,0,3
55,1,male,32,Budakeszi,Szakorvos ,172,0,0,3,1,1,1,1,2,1,3,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,3,606,1,1,0,1,1,1,1,2,0,0,0,1,1
56,0,male,48,Nagykanizsa,Szakorvos ,160,3,0,4,1,1,1,1,1,3,2,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,2,0,0,638,3,3,1,1,2,1,0,1,2,0,0,0,1
57,0,female,37,Budakeszi,Lakatos ,177,4,1,3,0,1,1,1,1,2,2,4,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,0,0,0,4,4,87697,2,3,1,3,0,0,0,1,0,2,1,1,0
58,0,male,62,Nagykanizsa,Lakatos ,168,3,0,3,1,1,1,1,1,2,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,3,237,3,3,1,1,0,0,0,2,0,0,1,0,0
59,1,female,34,Nagykanizsa,Lakatos ,163,4,0,3,0,1,1,1,1,2,0,2,0,1,0,1,0,0,1,1,1,0,1,1,0,5,1,0,1,1,0,4,383,2,3,1,1,0,1,0,1,2,0,0,0,3
60,1,male,58,Budakeszi,Szakorvos ,169,4,0,1,0,1,1,1,2,0,3,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,4,0,4,0,2,0,1,3,2,0,0,1,0,0,1,1,1
61,1,male,29,Nagykanizsa,Szakorvos ,204,3,0,3,1,1,1,1,2,2,1,0,0,1,2570356,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,2,2,1,0,0,2,1,1,0,2
62,1,male,54,Nagybajcs,asztalos ,161,4,0,0,0,1,1,1,1,2,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,3,0,450,2,0,1,3,3,1,1,2,2,0,1,1,1
63,0,male,56,Budakeszi,asztalos ,163,4,0,0,1,1,1,1,1,2,4,0,0,1,731439,1,0,0,0,1,0,0,1,1,1,5,1,1,1,2,0,0,0,3,0,1,1,0,1,1,0,2,1,1,1,0
64,0,male,47,Nagykanizsa,Lakatos ,173,4,0,3,1,1,1,1,1,2,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,5,1,0,3,0,0,0,373,3,1,1,3,0,1,0,1,2,0,0,0,1
65,1,male,42,Budakeszi,asztalos ,176,2,0,4,1,1,1,1,14,2,2,4,0,1,1973065,0,0,0,0,1,0,1,1,0,0,5,2,0,4,2,4,2,153,2,1,0,1,0,0,0,1,0,1,0,0,4
66,0,female,61,Nagybajcs,Lakatos ,180,0,0,3,1,1,1,1,0,2,2,0,0,1,0,1,0,0,0,1,1,1,1,1,0,5,2,0,0,0,0,4,498,0,1,1,1,2,1,0,0,0,0,1,1,0
67,1,male,56,Nagykanizsa,asztalos ,183,4,2,3,1,1,1,1,2,2,0,0,0,0,721349,1,0,0,0,1,0,0,0,1,0,4,1,0,1,0,0,3,109,1,0,1,3,2,1,1,2,0,1,0,0,1
68,1,male,25,Budakeszi,Szakorvos ,171,3,0,2,1,1,1,1,1,3,2,0,0,1,82376,0,0,0,0,0,0,0,0,1,1,5,1,0,3,0,0,0,1100,2,2,1,1,1,1,0,1,1,0,0,0,1
69,1,male,53,Nagykanizsa,Szakorvos ,173,4,1,1,1,1,2,1,1,0,0,4,0,0,0,0,0,0,0,1,0,1,1,1,1,5,2,0,4,4,0,0,0,2,2,0,0,1,1,0,1,0,1,0,0,1
70,1,male,62,Budakeszi,asztalos ,160,0,0,3,1,1,1,1,0,2,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,2,0,3,0,1,3,1,1,1,0,1,0,2,0,0,0,2
71,0,male,34,Budakeszi,Szakorvos ,172,0,0,2,1,1,1,1,2,2,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,5,1,0,1,0,0,0,281,2,1,1,3,1,0,0,2,0,1,0,0,1
72,1,male,39,Nagybajcs,Szakorvos ,169,0,1,4,0,1,1,1,0,1,4,1,0,1,0,1,0,0,0,0,1,0,1,1,1,3,2,0,0,2,1,1,251,2,1,0,0,2,0,0,0,0,1,0,0,1
73,0,male,39,Budakeszi,asztalos ,164,0,2,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,1,0,0,1,1,1,5,1,0,4,2,3,4,927,3,3,1,3,1,0,0,0,0,0,0,1,1
74,1,male,31,Nagykanizsa,Szakorvos ,172,4,0,2,1,1,1,1,1,2,1,0,0,1,296124,1,0,1,1,1,0,0,1,0,0,0,0,0,1,4,4,0,961,2,3,1,1,2,1,0,2,1,1,0,0,3
75,1,male,54,Budakeszi,asztalos ,163,4,0,3,1,1,0,1,2,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,4,0,2,3,1,1,1,0,0,1,0,0,1,1,1
76,1,male,26,Nagykanizsa,Szakorvos ,169,0,2,3,0,1,2,1,1,1,10,1,0,0,0,1,0,0,0,1,0,0,1,1,0,4,1,1,1,2,1,0,573,3,1,1,3,2,0,0,0,2,0,1,1,1
77,0,male,58,Nagybajcs,Lakatos ,174,3,0,4,0,0,1,1,1,3,1,0,0,0,1446006,1,0,0,0,1,0,0,1,0,0,5,0,0,1,2,0,0,2520,2,0,1,3,2,0,0,0,0,0,1,1,2
78,1,male,28,Nagykanizsa,Szakorvos ,178,0,0,4,1,1,1,1,2,2,0,4,0,0,2003203,1,0,0,1,1,0,1,1,1,0,2,1,0,1,0,0,2,0,2,1,1,3,1,1,0,1,2,1,1,0,3
79,1,male,46,Budakeszi,asztalos ,166,3,0,3,1,1,1,1,0,3,2,0,0,1,0,1,0,1,0,1,1,0,1,1,0,2,2,0,4,4,0,0,0,3,2,0,2,2,1,1,2,2,0,1,1,1
80,0,male,61,Nagykanizsa,asztalos ,176,3,0,1,0,0,1,1,1,3,4,4,0,0,385815,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1765,3,0,1,3,2,0,0,0,2,0,1,0,3
81,0,male,62,Nagykanizsa,asztalos ,154,0,0,1,1,1,1,1,1,2,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,431,1,3,1,1,2,0,1,2,0,1,1,1,0
82,0,male,48,Nagykanizsa,Lakatos ,185,4,0,3,1,1,1,1,1,2,8,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,4,0,3,2,0,1,3,1,3,1,1,1,1,0,0,0,0,1
83,1,female,29,Nagybajcs,Szakorvos ,172,0,0,3,1,0,1,1,1,2,0,0,0,0,1721723,1,0,0,0,1,0,0,0,0,1,2,0,0,1,2,1,2,0,2,3,1,1,2,1,1,0,0,2,0,0,1
84,0,male,27,Nagybajcs,Szakorvos ,169,0,0,4,1,1,0,1,1,0,3,0,0,0,498222,1,0,1,0,1,0,0,1,1,1,3,1,0,1,0,0,2,0,0,1,1,2,0,1,1,1,2,0,0,0,1
85,1,male,60,Budakeszi,Szakorvos ,159,0,0,4,1,1,1,0,1,3,1,1,0,0,1687278,0,0,1,0,1,0,0,1,0,1,1,3,0,4,0,0,1,7040,1,1,1,2,1,1,1,2,2,0,1,0,3
86,0,male,43,Budakeszi,Lakatos ,173,4,0,0,0,1,1,1,1,3,4,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,2,2,1,1,2,0,0,2,0,0,0,0,0
87,0,male,48,Budakeszi,Lakatos ,177,3,0,0,1,1,0,1,1,2,1,3,0,0,743529,1,0,0,0,1,1,0,1,0,1,0,2,0,1,0,0,3,295,2,1,1,1,3,1,0,1,2,1,0,0,0
88,1,female,46,Nagykanizsa,asztalos ,158,3,0,0,1,1,2,1,3,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,2,0,3,0,2,1,1,0,2,1,0,1,0,0,1,0,4
89,1,male,60,Budakeszi,asztalos ,177,4,0,3,1,1,1,1,2,2,2,1,0,1,871950,1,0,0,0,1,0,0,1,1,1,1,3,0,1,0,0,3,0,1,1,1,1,2,0,0,1,2,1,1,0,1
90,0,male,45,Budakeszi,Lakatos ,159,4,0,3,1,1,2,1,2,2,2,1,0,1,0,1,0,0,0,1,0,0,1,1,0,5,2,1,0,2,1,4,10064,3,2,1,1,0,0,0,1,0,0,0,1,0
91,0,male,48,Budakeszi,Szakorvos ,165,2,0,3,1,1,2,1,1,2,4,1,0,0,27835826,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,2,532,2,1,1,1,0,1,1,2,2,0,0,0,1
92,0,female,28,Nagykanizsa,Lakatos ,182,3,0,1,1,1,1,1,2,3,5,2,0,0,1096271,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,118,2,2,1,2,2,0,0,0,0,0,1,0,2
93,0,male,36,Nagykanizsa,asztalos ,152,3,0,3,0,1,1,1,4,3,1,4,0,0,0,0,1,0,0,1,0,0,1,1,1,5,3,0,1,2,0,0,1541,3,3,1,1,2,0,0,1,1,1,1,1,1
94,0,male,41,Budakeszi,Szakorvos ,177,1,0,2,0,1,2,1,1,3,3,1,0,1,1837996,0,0,1,0,1,0,0,1,1,1,5,0,0,3,2,0,0,622,2,1,1,3,2,1,0,1,2,1,1,1,4
95,1,male,40,Nagykanizsa,asztalos ,163,4,0,4,0,0,1,1,0,2,3,0,0,0,2335341,1,0,0,0,1,1,0,1,1,1,5,1,1,0,0,0,4,0,2,0,0,2,1,1,0,1,2,1,1,1,1
96,0,male,34,Nagykanizsa,Lakatos ,190,3,0,3,1,1,1,1,8,3,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,5,1,0,1,3,0,1,343,2,0,0,3,2,0,0,0,0,0,0,1,1
97,1,male,26,Budakeszi,asztalos ,166,0,2,3,1,1,1,1,1,2,3,4,0,1,1281899,1,0,0,0,1,0,1,1,0,1,1,0,0,3,1,0,3,0,1,0,0,1,1,0,0,1,0,0,0,0,1
98,0,male,31,Nagybajcs,asztalos ,166,3,0,3,1,1,1,1,2,3,6,0,0,1,873674,0,0,0,1,0,0,0,1,0,0,2,3,0,1,4,2,1,13129,3,0,1,1,1,0,0,1,0,1,0,0,1
99,0,male,33,Budakeszi,Szakorvos ,185,3,0,2,1,0,2,1,5,0,13,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,2,0,4,4,1,4,692,2,1,1,2,0,0,0,1,0,0,0,0,0
100,1,male,63,Nagykanizsa,asztalos ,186,0,2,3,1,0,1,1,1,2,4,4,0,0,1663144,1,0,1,0,0,1,1,1,1,1,1,1,0,4,0,0,1,362,2,2,0,1,1,0,0,2,0,1,0,0,1
101,0,male,32,Budakeszi,asztalos ,172,3,0,1,1,1,1,1,1,3,1,0,0,0,1228492,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,62280,3,0,1,1,2,1,0,1,0,0,1,0,4
102,0,male,36,Nagykanizsa,asztalos ,171,3,2,3,1,1,1,1,2,2,1,4,0,0,0,1,0,0,0,1,0,1,1,1,1,1,2,0,3,0,2,4,1074,2,0,1,2,1,0,0,0,0,1,0,0,1
103,0,male,28,Nagybajcs,Lakatos ,168,0,2,2,1,1,2,1,1,3,1,0,0,1,29919,1,0,0,0,1,0,0,1,1,0,3,1,0,1,0,0,3,0,1,0,1,1,0,0,0,2,2,0,1,1,4
104,1,male,25,Nagykanizsa,asztalos ,148,0,0,3,1,1,1,1,1,2,2,1,0,0,1451152,1,0,0,0,1,1,0,1,1,1,0,1,1,4,0,0,0,0,3,1,1,3,1,1,0,1,0,0,1,0,4
105,1,female,65,Nagykanizsa,Lakatos ,157,4,0,4,1,1,1,1,5,1,1,1,0,1,9984,1,0,1,0,1,1,0,0,1,1,0,0,0,1,4,0,3,173,3,0,1,1,2,1,0,1,1,1,1,0,1
106,0,female,49,Nagykanizsa,Lakatos ,155,3,0,3,0,1,1,1,1,2,3,4,0,1,1054582,1,0,0,0,1,0,0,1,1,0,5,0,0,1,0,0,3,395,2,1,1,1,2,1,0,1,1,0,0,0,1
107,0,male,46,Nagykanizsa,Lakatos ,167,0,0,1,0,1,1,1,2,3,12,3,0,1,0,1,0,0,0,1,0,1,1,0,1,1,2,0,1,0,0,3,791,2,1,1,1,2,0,1,1,0,1,0,0,3
108,1,male,51,Budakeszi,asztalos ,159,3,2,3,1,1,1,1,1,2,2,0,0,1,0,0,0,0,0,1,0,0,1,0,1,5,2,0,1,2,0,3,234,2,0,1,3,2,0,1,1,0,0,1,1,2
109,1,male,62,Budakeszi,Lakatos ,175,4,0,3,1,1,1,1,1,2,8,1,0,0,1423595,1,1,0,1,1,1,0,1,1,0,2,1,0,1,2,0,1,1082,2,1,1,3,2,0,0,1,0,0,1,0,4
110,1,male,36,Nagykanizsa,Szakorvos ,154,0,0,4,1,1,1,1,1,3,2,0,0,1,1657400,1,0,1,1,1,1,1,1,1,0,5,1,0,1,0,3,1,45079,2,0,1,1,2,1,1,2,2,1,1,0,3
111,0,male,43,Nagykanizsa,asztalos ,170,3,0,2,1,1,1,1,2,0,1,4,0,0,1665625,0,0,0,0,0,0,0,0,1,1,1,1,0,1,2,3,0,0,3,1,1,1,0,0,0,0,1,1,0,0,4
112,1,male,33,Nagykanizsa,Lakatos ,166,4,2,2,0,1,1,1,1,2,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,4,1,0,1,0,3,3,1038,3,1,0,3,0,0,0,1,0,0,1,0,2
113,0,male,26,Nagykanizsa,Szakorvos ,167,4,0,3,1,1,1,1,1,3,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,2,0,0,1831,2,1,1,2,1,1,0,1,0,1,0,1,1
114,1,female,30,Budakeszi,Szakorvos ,171,0,2,2,1,0,2,0,1,3,1,1,0,1,967503,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,2,0,1,1,2,1,1,1,2,0,1,0,4
115,0,male,25,Nagykanizsa,Lakatos ,172,0,0,4,1,1,1,1,1,0,2,4,0,0,1845612,1,0,1,0,1,0,1,0,1,0,0,2,0,1,3,3,2,783,2,3,1,3,2,0,0,1,1,1,1,1,3
